time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-03 00:00:00+00:00,2,2,5,3
2024-03-04 00:00:00+00:00,2,2,4,4
2024-03-05 00:00:00+00:00,1,1,54,6
2024-03-06 00:00:00+00:00,1,1,9,8
2024-03-07 00:00:00+00:00,1,1,6,6
2024-03-08 00:00:00+00:00,2,2,7,4
2024-03-09 00:00:00+00:00,2,2,7,4
2024-03-10 00:00:00+00:00,1,1,1,1
2024-03-11 00:00:00+00:00,2,2,6,5
2024-03-12 00:00:00+00:00,1,1,55,7
2024-03-13 00:00:00+00:00,1,1,25,4
2024-03-14 00:00:00+00:00,1,1,26,7
2024-03-15 00:00:00+00:00,1,1,7,7
