url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,70,39
/ErnakovichLab/dada2_ernakovichlab/tree/main,10,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/README.md,8,2
/ErnakovichLab/dada2_ernakovichlab/tree/main/R,5,3
/ErnakovichLab/dada2_ernakovichlab/blob/main/dada2_tutorial_16S_all.md,3,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/04_learn_error_rates_dada2_tutorial_16S.R,2,1
/ErnakovichLab/dada2_ernakovichlab/issues,2,1
/ErnakovichLab/dada2_ernakovichlab/blame/main/README.md,1,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/00_setup_dada2_tutorial_16S.R,1,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/05_infer_ASVs_dada2_tutorial_16S.R,1,1
