time_iso8601,stars_cumulative
2022-09-16 00:00:00+00:00,1
2022-09-26 00:00:00+00:00,2
2022-10-04 00:00:00+00:00,3
2023-05-17 00:00:00+00:00,4
2023-09-20 00:00:00+00:00,5
2023-09-25 00:00:00+00:00,7
2023-11-14 00:00:00+00:00,8
2023-12-26 00:00:00+00:00,9
2024-02-27 00:00:00+00:00,10
2024-03-02 00:00:00+00:00,11
2024-09-24 00:00:00+00:00,12
2024-11-06 00:00:00+00:00,13
2024-12-20 00:00:00+00:00,14
2025-05-30 00:00:00+00:00,15
2025-05-31 00:00:00+00:00,16
2025-08-20 00:00:00+00:00,17
2025-10-15 00:00:00+00:00,18
2025-12-19 00:00:00+00:00,19
2026-02-24 00:00:00+00:00,20
2026-04-15 00:00:00+00:00,21
